Job Title,Company,Salary,Experience,City,Benefits,Skills
Lập Trình Viên Java Fullstack,CÔNG TY CỔ PHẦN PHẦN MỀM REVOTECH,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Kinh Doanh/ Sales Phần Mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ WINDSOFT VIỆT NAM,"Hồ Chí Minh (mới) & Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,"Online Sales, Telesales"
"Business Analyst [Hà Nội] - Tuyển Nam, Thu Nhập Upto 15 Triệu, Tối Thiểu 1 Năm Kinh Nghiệm",CÔNG TY TNHH PANCAKE VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,Th...
Business Analyst (Domain Banking),CÔNG TY TNHH EQUIX TECHNOLOGIES,"Hà Nội
3 năm",Không yêu cầu,Khác,,IT...
Game Developer,CÔNG TY CỔ PHẦN NEXAR (NEXAR GAMES),"Hà Nội
1 năm",Không yêu cầu,Khác,,"Nghỉ thứ ..., Game, Game Developer, IT - Phần mềm"
Mobile Flutter Developer,CÔNG TY TNHH TOWNSOFT VINA,"Hà Nội
3 năm",Không yêu cầu,Khác,,"T..., Nghỉ thứ 7, IT - Phần mềm"
Unity Developer (Puzzle Game),CÔNG TY CỔ PHẦN WEEGOON GLOBAL,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Game Developer, Nghỉ thứ 7"
Data Scientist (Middle+),CÔNG TY TNHH NGÔI SAO DŨNG CẢM,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Data Scientist, Nghỉ thứ 7"
Chuyên Viên Phân Tích Nghiệp Vụ,"Pro
CÔNG TY CỔ PHẦN TẬP ĐOÀN HIPT","Hà Nội
3 năm",Không yêu cầu,Khác,,IT...
Nhân Viên Lập Trình Mobile,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,"Hà Nội
2 năm",Không yêu cầu,Khác,,"2 năm kinh ..., IT - Phần mềm"
Business Analyst (Chuyên Viên Phân Tích Nghiệp Vụ),CÔNG TY CỔ PHẦN VIETSOL,"Hà Nội
3 năm",Không yêu cầu,Khác,,3 ...
Junior Lập Trình Python Cho AI Agent,CÔNG TY CP XNK TIÊN PHONG VN,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Điện toán ..., IT - Phần mềm"
Mobile Android Developer,CÔNG TY TNHH KINH DOANH TỔNG HỢP TUẤN PHÁT,"Hà Nội
1 năm",Không yêu cầu,Khác,,"1 năm kinh ..., IT - Phần mềm"
DevOps Engineer (Junior/Middle/Senior),CÔNG TY TNHH CMC GLOBAL,"Hà Nội
2 năm",Không yêu cầu,Khác,,Đại Họ...
C++ Developer,FPT SOFTWARE,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Nghỉ thứ ..., IT - Phần mềm"
Data Engineer (DA),CÔNG TY TNHH LG CNS VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Data Engineer, Nghỉ thứ 7"
SAP ABAP Cloud/ RAP Technical Consultant,CÔNG TY TNHH LG CNS VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Nghỉ thứ 7, IT - Phần mềm"
Giảng Viên Công Nghệ Thông Tin - HĐLĐ,HỌC VIỆN HÀNG KHÔNG VIỆT NAM,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,A...
Test Engineer (N2/N3),CÔNG TY TNHH CMC GLOBAL,"Hà Nội
4 năm",Không yêu cầu,Khác,,Đại Họ...
Business Development Representative Leader (BDR Leader),CÔNG TY CP KHOA HỌC DỮ LIỆU,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,"Marke..., B2B, IT - Phần mềm"
Chuyên Viên Kinh Doanh/ Senior Sales Phần Mềm - Hà Nội & Hồ Chí Minh,CÔNG TY TNHH PHÁT TRIỂN HƯƠNG VIỆT,"Hồ Chí Minh (mới) & Hà Nội
2 năm",Không yêu cầu,Khác,,"IT - P..., Direct Sales, B2B"
Senior Pentester,CÔNG TY CP AN NINH MẠNG VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,An ninh mạng
Nhân Viên Kinh Doanh Phần Mềm Marketing Shopee - Lương Cứng Không Phụ Thuốc Doanh Số - Hoa Hồng Lên Đến 40%,CÔNG TY CỔ PHẦN CÔNG NGHỆ ATOSA,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Online Sales, Telesales"
"Automation Tester (2 YOE), Proficient In English",CÔNG TY TNHH SYNERGIX TECHNOLOGIES VIỆT NAM,"Hà Nội
2 năm",Không yêu cầu,Khác,,"Nghỉ thứ 7, IT - Phần mềm"
Lập Trình Viên IOS (Product Domain Bank/Fintech),CÔNG TY CỔ PHẦN ATOMI DIGITAL,"Hà Nội
3 năm",Không yêu cầu,Khác,,Nghỉ thứ 7
Fresher Android Talent,"Pro
FPT SOFTWARE","Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,"T..., Nghỉ thứ 7, IT - Phần mềm"
Game Designer,WAYFU STUDIO,"Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,"Dưới 1..., Nghỉ thứ 7, Game Design, IT - Phần mềm"
Trưởng Nhóm Thiết Kế (Design Team Leader),CÔNG TY TNHH ANNA EYEGLASSES HÀ NỘI,"Hà Nội & Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,Thiết kế...
Kỹ Sư TDD (C++),CÔNG TY TNHH ALPHA NETWORKS VIỆT NAM,"Ninh Bình (mới)
1 năm",Không yêu cầu,Khác,,Nghỉ th...
AI Generative Engineer,CÔNG TY TNHH BITU VIỆT NAM,"Hà Nội
2 năm",Không yêu cầu,Khác,,"AI Engineer, Nghỉ thứ 7, Đạ..."
Chuyên Viên Vận Hành Nghiệp Vụ Chứng Khoán,CÔNG TY CỔ PHẦN CHỨNG KHOÁN HD,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,Nghỉ thứ...
Designer,CÔNG TY TNHH XÓM MEDIA,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,Marketin...
Salesforce BrSE / Project Leader,CÔNG TY TNHH CIRCLACE HT,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,"Nghỉ thứ ..., IT - Phần mềm"
Creative Graphic Designer,CÔNG TY CỔ PHẦN TV HUB,"Hồ Chí Minh (mới)
5 năm",Không yêu cầu,Khác,,Marketin...
Thực Tập Sinh Design,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHỆ TLT,Thỏa thuận,Không yêu cầu,Khác,,Không yê...
Chuyên Viên Kỹ Thuật Linux/Unix Và Docker,CÔNG TY TNHH GIẢI PHÁP SOLBIZ,"Đà Nẵng (mới)
1 năm",Không yêu cầu,Khác,,"Nghỉ thứ 7, IT - Phần mềm"
Management Information System Supervisor (MIS),CÔNG TY CỔ PHẦN PMAC,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,2 ...
React Native Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,"Hà Nội
3 năm",Không yêu cầu,Khác,,Nghỉ thứ 7
Thực Tập Sinh Lập Trình GIS,CÔNG TY CỔ PHẦN LIFETEX,Thỏa thuận,Không yêu cầu,Khác,,"GIS Engineer, Cao..."
Graphic Designer,CÔNG TY CỔ PHẦN DỊCH VỤ BẠN UỐNG TÔI LÁI,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,1 năm ki...
Kiểm Thử Phần Mềm (Tester),"Pro
VIETTEL IDC","Hà Nội
3 năm",Không yêu cầu,Khác,,IT ...
Braking System Embedded Developer [Intern/Fresher],CÔNG TY TNHH HCL VIỆT NAM.,Thỏa thuận,Không yêu cầu,Khác,,Điệ...
Product Owner,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG QSOFT,"Hà Nội
1 năm",Không yêu cầu,Khác,,IT - Phần m...
Backend Developer (Python Dev),CÔNG TY TNHH GIẢI PHÁP PHÂN TÍCH DỮ LIỆU INSIGHT DATA,"Hà Nội
2 năm",Không yêu cầu,Khác,,"Nghỉ thứ 7, IT - Phần mềm"
Frontend Dev (OS Bank),CÔNG TY TNHH GIẢI PHÁP PHÂN TÍCH DỮ LIỆU INSIGHT DATA,"Hà Nội
4 năm",Không yêu cầu,Khác,,"Ngân hàng, IT - Phần mềm"
Nhân Viên Graphic Designer (Mảng Game),CÔNG TY TNHH PEGASUS,"Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,Marketin...
Application Support Engineer,CÔNG TY TNHH ĐẦU TƯ 24INVEST,"Hà Nội
2 năm",Không yêu cầu,Khác,,
Java Developer - OB Sớm,CÔNG TY TNHH GIẢI PHÁP PHÂN TÍCH DỮ LIỆU INSIGHT DATA,"Hà Nội
3 năm",Không yêu cầu,Khác,,"3 năm ki..., IT - Phần mềm"
Nhân Viên BA,CÔNG TY CỔ PHẦN THƯƠNG MẠI & DỊCH VỤ MEDLATEC GROUP,"Hà Nội
3 năm",Không yêu cầu,Khác,,IT - Phần c...
Business Analyst (Dự Án Healthcare),CÔNG TY CỔ PHẦN SYNODUS,"Hà Nội
4 năm",Không yêu cầu,Khác,,IT...
AI Engineer,CÔNG TY CỔ PHẦN KAOPIZ SOFTWARE,"Hà Nội
4 năm",Không yêu cầu,Khác,,"AI Engineer, Nghỉ thứ 7, Đạ..."
Chuyên Viên Graphic Designer Mảng Thẩm Mỹ,BỆNH VIỆN THẨM MỸ KANGNAM,"Hà Nội
2 năm",Không yêu cầu,Khác,,Thiết kế...
Chuyên Viên ServiceDesk – Hỗ Trợ Core Banking T24,NGÂN HÀNG TM TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG,"Hà Nội
1 năm",Không yêu cầu,Khác,,Đ...
Chuyên Viên Cao Cấp An Ninh Bảo Mật (Pentest),NGÂN HÀNG TM TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG,"Hà Nội
3 năm",Không yêu cầu,Khác,,"An ninh mạng, IT..."
Nhân Viên Thiết Kế Đồ Họa (Graphic Design),CÔNG TY TNHH THỜI TRANG ELISE,"Hà Nội
1 năm",Không yêu cầu,Khác,,Thiết kế...
CTV Thiết Kế Thumbnail Và Dựng Video Youtube,CÔNG TY TNHH CSGVINA,"Hà Nội
1 năm",Không yêu cầu,Khác,,Sản ...
Nhân Viên Thiết Kế Đồ Họa,CÔNG TY TNHH VĂN HOÁ PALETTE,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,Thiết kế...
Nhân Viên Kinh Doanh Phần Mềm ERP/ Sales B2B,CÔNG TY TNHH ENTROSOFT,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,"Telesales, Direct Sales"
Thực Tập Marketing,CÔNG TY TNHH CSGVINA,Thỏa thuận,Không yêu cầu,Khác,,Không...
VMD Design Assistant Manager,"Pro
CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM","Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,Bán lẻ -...
Chuyên Viên Cao Cấp An Ninh Bảo Mật (SOC),NGÂN HÀNG TM TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG,"Hà Nội
3 năm",Không yêu cầu,Khác,,"An ninh mạng, IT..."
Nhân Viên Lập Trình,CÔNG TY TNHH TM & DV TRI LINH,"Hồ Chí Minh (mới)
Dưới 1 năm",Không yêu cầu,Khác,,IT - Phần mềm
Fresher Data Engineer,"Pro
FPT SOFTWARE",Thỏa thuận,Không yêu cầu,Khác,,"Data Engineer, Tiến..., Nghỉ thứ 7, IT - Phần mềm"
Thực Tập Sinh Quản Trị Dự Án,"Pro
FPT IS",Thỏa thuận,Không yêu cầu,Khác,,"Không ..., Nghỉ thứ 7"
Nhân Viên Kinh Doanh Phần Mềm ERP (Thứ 2 - Thứ 6),CÔNG TY CỔ PHẦN ASOFT,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,"1 năm ki..., Nghỉ thứ 7, B2B"
Chuyên Viên Quản Trị Hạ Tầng,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Viễn thông, Ng..."
Graphic Designer (Hệ Cao Đẳng),"Pro
TỔ CHỨC GIÁO DỤC FPT","Hà Nội
1 năm",Không yêu cầu,Khác,,Giáo dục...
Lập Trình Viên Angular,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,"Hà Nội
3 năm",Không yêu cầu,Khác,,Nghỉ thứ 7
Project Manager (PM) – Quản Lý Tổng Các Dự Án,CÔNG TY CỔ PHẦN SPACESPEAKERS LABEL,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,Cao Đ...
Graphic Designer,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VÀ SẢN XUẤT COLIF,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,Thiết kế...
PM - 5 Năm Kinh Nghiệm,CÔNG TY CỔ PHẦN PARALINE SOFTWARE,"Hồ Chí Minh (mới)
5 năm",Không yêu cầu,Khác,,"5..., Nghỉ thứ 7"
Chuyên Viên An Toàn Thông Tin (Pentest),"Pro
CÔNG TY CP GIẢI PHÁP THANH TOÁN VIỆT NAM (VNPAY)","Hà Nội
3 năm",Không yêu cầu,Khác,,An ninh mạng
